NomenclatureCode,Tier,ProductCode,ProductDescription
S3,0, Total,Total Trade
S3,1,0,Food & live animals
S3,2,00,Live animals except fish
S3,3,001,Live animals except fish
S3,4,0011,"Bovine animals, live"
S3,5,00111,"Bovine animals, breeding"
S3,5,00119,"Bovine animals, other"
S3,4,0012,"Sheep & goats, live"
S3,5,00121,"Sheep,live"
S3,5,00122,"Goats,live"
S3,4,0013,"Swine, live"
S3,5,00131,"Swine, live for breeding"
S3,5,00139,"Swine, live, other"
S3,4,0014,"Poultry, live"
S3,5,00141,"Poultry,live,max 185 gm"
S3,5,00149,"Poultry live,over 185 gm"
S3,4,0015,"Equine species, live"
S3,5,00151,Horses
S3,5,00152,"Asses/mules/hinnies,live"
S3,4,0019,Live animals n.e.s.
S3,2,01,Meat & preparations
S3,3,011,"Beef, fresh/chilld/frozn"
S3,4,0111,"Beef, fresh/chilled"
S3,5,01111,"Beef fresh/chld,bone in"
S3,5,01112,Beef fresh/chld boneless
S3,4,0112,"Beef, frozen"
S3,5,01121,"Beef, frozen, bone in"
S3,5,01122,"Beef, frozen, boneless"
S3,3,012,"Meat nes,fresh/chld/froz"
S3,4,0121,Meat sheep/goat fr/ch/fz
S3,5,01211,Mutton fresh/chilled
S3,5,01212,Mutton frozen
S3,5,01213,"Goat meat,fresh/chld/frz"
S3,4,0122,Pork fresh/chilled/frozn
S3,5,01221,Pork fresh/chilled
S3,5,01222,Pork frozen
S3,4,0123,Poultry fresh/chld/frozn
S3,5,01231,Poultry(whole)frsh/chld
S3,5,01232,Poultry(whole) frozen
S3,5,01233,"Liver,goose/duck frsh/ch"
S3,5,01234,Poultry cuts fresh/chlld
S3,5,01235,"Poultry cuts, frozen"
S3,5,01236,Poultry liver frozen
S3,4,0124,"Meat,equine,frsh/chl/frz"
S3,4,0125,"Edible offal,frs/chl/frz"
S3,5,01250,  UN Special Code
S3,5,01251,"Beef offal,fresh/chilled"
S3,5,01252,"Beef offal, frozen"
S3,5,01253,"Swine offal,fresh/chilld"
S3,5,01254,"Swine offal, frozen"
S3,5,01255,"Offal,sheep etc fresh/ch"
S3,5,01256,"Offal,sheep etc frozen"
S3,4,0129,"Meat/offal nes,fr/ch/frz"
S3,5,01291,"Meat/offal,rabbit/hare"
S3,5,01292,Frogs legs
S3,5,01293,Edible snails(not sea)
S3,5,01299,Other meat nes fr/ch/frz
S3,3,016,Meat/offal preserved
S3,4,0161,"Bacon, ham, etc."
S3,5,01610,  UN Special Code
S3,5,01611,Ham/shoulder/cuts w bone
S3,5,01612,Pork bellies/streaky
S3,5,01619,"Meat,swine,cured nes"
S3,4,0168,Meat(exc.swine)preserved
S3,5,01681,Beef etc salted/smkd/dry
S3,5,01689,Meat/offal cured nes etc
S3,3,017,Meat/offal presvd n.e.s
S3,4,0171,"Meat,fish extrcts/juices"
S3,4,0172,Sausages etc. (meat)
S3,4,0173,"Liver,prepared/preserved"
S3,4,0174,"Poultry,prepd/presvd.nes"
S3,4,0175,Pork prepared/presvd nes
S3,4,0176,Beef prepared/presvd nes
S3,4,0179,Meat nes prepared/presvd
S3,2,02,Dairy products & eggs
S3,3,022,Milk pr exc buttr/cheese
S3,4,0220,  UN Special Code
S3,4,0221,Milk and cream unsweetnd
S3,5,02210,  UN Special Code
S3,5,02211,Milk (max fat 1%)
S3,5,02212,Milk (fat 1%-6%)
S3,5,02213,Cream (min fat 6%)
S3,4,0222,"Milk/cream,conc/sweetend"
S3,5,02221,"Milk powder, fat < 1.5%"
S3,5,02222,Milk/cream powder nes
S3,5,02223,"Milk(ex dry) prsvd,unswt"
S3,5,02224,"Milk(ex dry) prsvd,swtnd"
S3,4,0223,Yogurt/buttermilk/ice cr
S3,5,02230,  UN Special Code
S3,5,02231,Yogurt
S3,5,02232,Buttermilk etc.
S3,5,02233,"Ice cream,edible ice"
S3,4,0224,"Whey, products"
S3,5,02241,Whey
S3,5,02249,Natural milk prods n.e.s
S3,3,023,Butter and cheese
S3,4,0230,"Butter, milk fats"
S3,3,024,Cheese and curd
S3,4,0240,  UN Special Code
S3,4,0241,"Cheese,grated/powdered"
